feature,value
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.17781748974983255
original_glszm_HighGrayLevelZoneEmphasis,0.17763270430014763
logarithm_glrlm_RunVariance,0.17762503043242758
wavelet-LHL_glrlm_LongRunEmphasis,0.17758852873438163
square_glszm_LowGrayLevelZoneEmphasis,0.177345768331568
logarithm_firstorder_Mean,0.17733864463163895
wavelet-LHL_gldm_LargeDependenceEmphasis,0.17724775129303308
logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,0.17687582234271435
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.17680851383049973
wavelet-LHH_glcm_SumEntropy,0.17674287938451938
lbp-3D-k_gldm_DependenceVariance,0.17661384719746553
wavelet-LLH_glrlm_LongRunEmphasis,0.17632503724605988
wavelet-HHL_firstorder_Minimum,0.17595682264223328
wavelet-LLL_ngtdm_Coarseness,0.17594007028008407
wavelet-HHH_glcm_MaximumProbability,0.17582225786571148
wavelet-HLL_glrlm_GrayLevelVariance,0.17564318446999688
wavelet-HLL_glrlm_LongRunEmphasis,0.17547386998730174
wavelet-HLL_glrlm_RunVariance,0.17533294351164333
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.17518182339948005
wavelet-HLH_glcm_Imc1,0.1750656074702547
wavelet-LLL_glcm_JointEntropy,0.17475748073397634
wavelet-LHH_glcm_InverseVariance,0.17466747109656228
squareroot_glrlm_RunPercentage,0.17443453542518522
wavelet-HLL_firstorder_Maximum,0.17443264871598255
original_ngtdm_Coarseness,0.17427641289620624
wavelet-HHL_glcm_JointAverage,0.17426265456738085
wavelet-HHL_glcm_SumAverage,0.1742626545673784
wavelet-HLL_firstorder_Minimum,0.17416738990549616
wavelet-HLL_firstorder_Variance,0.17409036054284943
wavelet-HLL_gldm_GrayLevelVariance,0.17399010539039467
wavelet-HLL_glcm_DifferenceVariance,0.17383836429349736
wavelet-HLH_glcm_JointEntropy,0.17377494222383028
exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.17374720041562344
exponential_glszm_LargeAreaEmphasis,0.17374720040062627
exponential_glszm_LargeAreaHighGrayLevelEmphasis,0.17374720003814348
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.17360961465107155
wavelet-HLH_firstorder_Entropy,0.1734212325552432
wavelet-HLH_glcm_DifferenceEntropy,0.17341441192233428
wavelet-HHH_glszm_ZoneEntropy,0.173134759661758
wavelet-HLL_firstorder_RootMeanSquared,0.17265264254088736
wavelet-HLL_firstorder_10Percentile,0.17263967275649603
original_glrlm_RunVariance,0.17256935072854607
square_glrlm_RunLengthNonUniformity,0.1724883950560983
original_glcm_MaximumProbability,0.17240279008532458
wavelet-HHH_firstorder_Entropy,0.17240225984677587
exponential_firstorder_Mean,0.17234536713961235
lbp-2D_glszm_ZonePercentage,0.17216259619476684
lbp-3D-m1_glszm_ZonePercentage,0.17216259619476684
lbp-3D-m2_glszm_ZonePercentage,0.17216259619476684
logarithm_firstorder_Skewness,0.17205487837756236
wavelet-HLL_firstorder_Median,0.1718463494264205
square_glszm_GrayLevelVariance,0.17156261704441916
wavelet-HLL_gldm_GrayLevelNonUniformity,0.17133981156091485
wavelet-HLL_glcm_JointAverage,0.17119125995586398
wavelet-HLL_glcm_SumAverage,0.17119125995586307
wavelet-HHH_glcm_JointEntropy,0.1710011235493194
wavelet-LHH_gldm_SmallDependenceEmphasis,0.17085973517852607
logarithm_firstorder_RootMeanSquared,0.1708375477897295
exponential_firstorder_90Percentile,0.17068552491044878
wavelet-HLH_glcm_SumEntropy,0.17067597337566184
wavelet-HLL_gldm_LargeDependenceEmphasis,0.1706004899999067
original_glrlm_LongRunEmphasis,0.17052901946774798
logarithm_firstorder_Kurtosis,0.17038555375847392
wavelet-HHH_glcm_SumEntropy,0.1702963599001567
square_glcm_Imc1,0.16997175505580173
wavelet-HHH_glcm_DifferenceEntropy,0.16991191920395526
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.1698841374584363
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.1696866065391098
wavelet-HHL_gldm_DependenceEntropy,0.1696756148913901
wavelet-HHL_firstorder_Range,0.16966247534695456
wavelet-HLH_glcm_JointAverage,0.16945322015251127
wavelet-HLH_glcm_SumAverage,0.16945322015250897
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.16943150777764832
wavelet-HLH_firstorder_Minimum,0.16936428121789
wavelet-LHL_glrlm_ShortRunEmphasis,0.1692241934521424
gradient_glcm_Idn,0.1689308486308173
