feature,importance
wavelet-HLL_glcm_DifferenceVariance,0.173838364
wavelet-HLH_glcm_JointEntropy,0.173774942
exponential_glszm_LargeAreaLowGrayLevelEmphasis,0.1737472
exponential_glszm_LargeAreaEmphasis,0.1737472
exponential_glszm_LargeAreaHighGrayLevelEmphasis,0.1737472
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.173609615
wavelet-HLH_firstorder_Entropy,0.173421233
wavelet-HLH_glcm_DifferenceEntropy,0.173414412
wavelet-HHH_glszm_ZoneEntropy,0.17313476
wavelet-HLL_firstorder_RootMeanSquared,0.172652643
wavelet-HLL_firstorder_10Percentile,0.172639673
original_glrlm_RunVariance,0.172569351
square_glrlm_RunLengthNonUniformity,0.172488395
original_glcm_MaximumProbability,0.17240279
wavelet-HHH_firstorder_Entropy,0.17240226
exponential_firstorder_Mean,0.172345367
lbp-2D_glszm_ZonePercentage,0.172162596
lbp-3D-m1_glszm_ZonePercentage,0.172162596
lbp-3D-m2_glszm_ZonePercentage,0.172162596
logarithm_firstorder_Skewness,0.172054878
wavelet-HLL_firstorder_Median,0.171846349
square_glszm_GrayLevelVariance,0.171562617
wavelet-HLL_gldm_GrayLevelNonUniformity,0.171339812
wavelet-HLL_glcm_JointAverage,0.17119126
wavelet-HLL_glcm_SumAverage,0.17119126
wavelet-HHH_glcm_JointEntropy,0.171001124
wavelet-LHH_gldm_SmallDependenceEmphasis,0.170859735
logarithm_firstorder_RootMeanSquared,0.170837548
exponential_firstorder_90Percentile,0.170685525
wavelet-HLH_glcm_SumEntropy,0.170675973
wavelet-HLL_gldm_LargeDependenceEmphasis,0.17060049
original_glrlm_LongRunEmphasis,0.170529019
logarithm_firstorder_Kurtosis,0.170385554
wavelet-HHH_glcm_SumEntropy,0.17029636
square_glcm_Imc1,0.169971755
wavelet-HHH_glcm_DifferenceEntropy,0.169911919
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.169884137
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,0.169686607
wavelet-HHL_gldm_DependenceEntropy,0.169675615
wavelet-HHL_firstorder_Range,0.169662475
wavelet-HLH_glcm_JointAverage,0.16945322
wavelet-HLH_glcm_SumAverage,0.16945322
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.169431508
wavelet-HLH_firstorder_Minimum,0.169364281
wavelet-LHL_glrlm_ShortRunEmphasis,0.169224193
gradient_glcm_Idn,0.168930849
wavelet-LHL_glrlm_RunPercentage,0.168927703
wavelet-HHH_glcm_Idm,0.168630334
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.168560402
wavelet-HHH_glcm_Id,0.168135849
wavelet-LLH_ngtdm_Strength,0.16800015
wavelet-LLL_glcm_Idn,0.167900306
lbp-3D-k_glszm_ZonePercentage,0.167807973
wavelet-HLL_glrlm_ShortRunEmphasis,0.167708893
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.167706608
exponential_glrlm_RunLengthNonUniformityNormalized,0.167668666
wavelet-HLH_gldm_DependenceEntropy,0.167648235
wavelet-HHH_glszm_SmallAreaEmphasis,0.167390033
logarithm_glrlm_RunEntropy,0.167388091
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.167332103
lbp-2D_glrlm_RunLengthNonUniformityNormalized,0.167171715
lbp-3D-m1_glrlm_RunLengthNonUniformityNormalized,0.167171715
lbp-3D-m2_glrlm_RunLengthNonUniformityNormalized,0.167171715
wavelet-HLL_glcm_ClusterTendency,0.166626855
wavelet-HLL_glrlm_RunPercentage,0.166476146
squareroot_glrlm_ShortRunHighGrayLevelEmphasis,0.166441021
wavelet-LLL_glcm_DifferenceVariance,0.166414351
original_glrlm_RunEntropy,0.166410048
wavelet-HLH_glrlm_LowGrayLevelRunEmphasis,0.166285279
wavelet-LLH_glcm_MaximumProbability,0.166270288
exponential_gldm_DependenceEntropy,0.166231336
lbp-2D_gldm_DependenceEntropy,0.166133127
lbp-3D-m1_gldm_DependenceEntropy,0.166133127
lbp-3D-m2_gldm_DependenceEntropy,0.166133127
wavelet-HHH_glszm_LowGrayLevelZoneEmphasis,0.165874192
lbp-3D-m1_firstorder_10Percentile,0.165805518
logarithm_glszm_ZoneEntropy,0.165791468
original_glszm_ZoneVariance,0.165733428
original_glszm_LargeAreaEmphasis,0.165711695
wavelet-HHL_glrlm_RunVariance,0.165072024
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.164947302
wavelet-LHH_glszm_ZonePercentage,0.164903238
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.164695958
logarithm_glrlm_GrayLevelNonUniformityNormalized,0.16456864
logarithm_ngtdm_Complexity,0.16454712
squareroot_ngtdm_Coarseness,0.164441442
original_glszm_LargeAreaHighGrayLevelEmphasis,0.164431993
wavelet-HHH_glrlm_LowGrayLevelRunEmphasis,0.164248042
wavelet-HLH_gldm_SmallDependenceEmphasis,0.164023522
gradient_glcm_Imc2,0.163890994
wavelet-HHH_glrlm_RunEntropy,0.163878919
wavelet-LHL_gldm_DependenceVariance,0.163823973
gradient_glcm_Imc1,0.163792315
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.163737146
wavelet-HLL_glcm_SumSquares,0.163704325
wavelet-HLH_ngtdm_Strength,0.16368177
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.163655766
wavelet-HLL_glcm_JointEnergy,0.163587339
wavelet-LHL_gldm_GrayLevelNonUniformity,0.16350796
squareroot_glrlm_LongRunEmphasis,0.163474824
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.163241739
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.16281335
logarithm_glcm_MCC,0.162782588
lbp-3D-m2_firstorder_RootMeanSquared,0.162686395
wavelet-LLH_glszm_GrayLevelVariance,0.162603575
original_glrlm_ShortRunHighGrayLevelEmphasis,0.16258148
original_glrlm_RunPercentage,0.16221144
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.161996003
wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.161611223
wavelet-LLL_firstorder_Energy,0.161370734
logarithm_gldm_LargeDependenceEmphasis,0.16134612
original_glcm_Imc2,0.161173503
wavelet-HLL_glcm_Contrast,0.161123477
wavelet-LHH_gldm_DependenceEntropy,0.161116481
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.161073378
wavelet-LHL_glcm_Imc2,0.160747572
square_firstorder_Kurtosis,0.160744965
wavelet-LLH_glrlm_RunPercentage,0.160525946
wavelet-LHL_glcm_JointEnergy,0.159963448
wavelet-HHL_firstorder_Median,0.159919676
squareroot_glcm_SumAverage,0.159917643
squareroot_glcm_JointAverage,0.159917643
logarithm_firstorder_RobustMeanAbsoluteDeviation,0.159554798
logarithm_glcm_SumAverage,0.159451467
logarithm_glcm_JointAverage,0.159451467
wavelet-HHL_glrlm_LongRunEmphasis,0.159429036
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.159021065
